Name_anime;Count_of_series;Genre;Topics;Years;Age_limit
Атака титанов;87;приключения,боевик,драма,фэнтези,триллер;военное,сёнен,суперсила;2013,2017,2018,2020;18
Стальной алхимик;115;приключения,боевик,драма,фантастика;военное,магия,сёнен;2003,2009;18
Ванпанчмен;24;боевик,комедия,повседневность,фантастика;пародия,суперсила;2015,2019;18
Мастера меча онлайн;96;приключения,боевик,романтика,фантастика,фэнтези;игры;2012,2018;16
Моя геройская академия;113;приключения,боевик,фантастика;сёнен,суперсила,школа;2016,2017,2018,2019,2021;16
Токийский Гуль;48;боевик,драма,фантастика,триллер;ужасы;2014,2015,2018;18
Клинок, рассекающий демонов;44;боевик,мистика;демоны,историческое,сёнен;2019,2021;18
Хантер х Хантер;148;приключения,боевик,драма,фэнтези,триллер;сёнен,суперсила;2011;16
Врата Штейна;49;драма,фантастика,триллер,психология;-;2011,2018;16
Нет игры - нет жизни;12;приключения,комедия,фэнтези;игры;2014;16
Код Гиас;50;боевик,драма,фантастика,триллер,психология;военное,суперсила,меха,школа;2006,2008;18
ТораДора;25;комедия,повседневность,романтика;школа;2008;16
Бездомный Бог;25;приключения,комедия,драма,фэнтези;сёнен;2014,2015;16
С нуля: Пособие по выживанию в альтернативном мире;50;приключения,драма,фэнтези,триллер,психология;-;2016,2020;18
Магическая битва;24;боевик,мистика;демоны,сёнен,школа;2020;18
Ван Пис;1027;приключения,боевик,комедия,драма,фэнтези;сёнен,суперсила;1999;16
Ангельские ритмы!;14;комедия,романтика,драма,мистика;школа;2010;16
Убийца Акаме!;24;приключения,боевик,драма,фэнтези,триллер;сёнен;2014;18
Семь смертных грехов;96;приключения,боевик,комедия,фэнтези;магия,сёнен;2014,2016,2018,2019,2021;16
Город, в котором меня нет;12;мистика,детектив,психология;-;2016;18
Дневник будущего;26;боевик,драма,фантастика,триллер,психология;сёнен;2011;18
Класс убийц;47;приключения,боевик,комедия,драма,фантастика;сёнен,школа;2015,2016;18
Моб Психо 100;25;боевик,комедия,драма,фантастика,мистика;-;2016,2019;16
Синий Экзорцист;38;приключения,боевик,комедия,драма,фэнтези;демоны,сёнен;2011,2017;16
Волейбол!;85;комедия,повседневность,драма;сёнен,спорт,школа;2014,2015,2016,2020;16
Этот прекрасный мир;22;приключения,комедия,фэнтези;магия,пародия;2016,2017;16
Обещанный Неверленд;23;фантастика,детектив,триллер,психология;сёнен,ужасы;2019,2021;18
Блич;366;приключения,боевик,комедия,драма,фэнтези;суперсила,сёнен;2004;16
Паразит;24;драма,фантастика,триллер,психология;ужасы;2014;18
Ковбой Бибоп;26;приключения,боевик,комедия,драма,фантастика;космос;1998;18
Фейри Тейл;328;приключения,боевик,комедия,драма,фэнтези;магия,сёнен;2009,2014,2018;16
Евангелион;26;боевик,драма,фантастика,психология;меха;1996;16
Парад смерти;12;драма,мистика,психология;игры;2015;18
Вайолет Эвергарден;14;драма,фэнтези;-;2018;
Другая;13;повседневность,мистика,детектив,триллер;ужасы,школа;2012;18
Повар-боец Сома;86;повседневность;сёнен,школа;2015,2016,2017,2019,2020;16
Этот глупый свин не понимает мечту девочки-зайки;13;комедия,повседневность,романтика,драма,мистика;школа;2018;16
Пожиратель душ;51;приключения,боевик,комедия,фэнтези;сёнен;2008;16
Психопаспорт;41;боевик,фантастика,триллер,психология;полиция;2012,2014,2019;18
Невиданный цветок;11;повседневность,драма,мистика;-;2011;16
Доктор Стоун;36;приключения,комедия,фантастика;сёнен;2019,2021;16
Госпожа Кагуя: в любви как на войне;37;комедия,романтика,психология;школа;2019,2020,2022;16
Гуррен-Лаганн;27;приключения,боевик,комедия,романтика,драма,фантастика;меха;2007;16
Милый во Франксе;24;боевик,романтика,драма,фантастика;меха;2018;18
Невероятные приключения ДжоДжо;164;приключения,боевик,мистика;вампиры,сёнен;2012,2014,2015,2016,2018,2021;18
Сатана на подработке!;16;комедия,романтика,фэнтези;демоны;2013,2022;16
Чёрный клевер;170;боевик,комедия,фэнтези,мистика;магия,сёнен;2017;16
Повелитель;43;приключения,комедия,фэнтези;игры,магия;2015,2018,2022;18
Судьба: Начало;25;боевик,драма,фэнтези,триллер;магия;2011,2012;18
Может, я встречу тебя в подземелье?;51;приключения,боевик,комедия,романтика,фэнтези;-;2015,2017,2019,2020,2022;16
Восхождение героя щита;38;приключения,боевик,комедия,драма,фэнтези;-;2019,2022;16
Кланнад;49;комедия,повседневность,романтика,драма,мистика;школа;2007,2008;16
Дюрарара!!;62;боевик,романтика,драма,мистика,детектив,триллер;-;2010,2015;18
Безумный азарт;24;драма,детектив,психология;игры,сёнен,школа;2017,2019;18
Цикл историй;87;комедия,фэнтези,детектив;вампиры;2009,2012,2013,2014,2015,2016,2017;18
Розовая пора моей школьной жизни сплошной обман;40;комедия,повседневность,романтика,драма;школа;2013,2015,2020;16
Чудачества любви не помеха;24;комедия,повседневность,романтика,драма;школа;2012,2014;16
Хьёка;22;повседневность,детектив;школа;2012;16
О моём перерождении в слизь;49;приключения,боевик,комедия,фэнтези;демоны;2018,2021;16
Последний Серафим;24;приключения,боевик,драма,фэнтези,мистика;вампиры,военное,сёнен;2015;18
Волшебница Мадока Магика;37;боевик,драма,фэнтези,триллер,психология;магия;2011,2020;16
Бродячие псы: Литературные гении;36;приключения,комедия,драма,мистика,детектив,триллер;суперсила;2016,2019;18
Сделано в Бездне;17;приключения,драма,фантастика,фэнтези,детектив;-;2017,2022;18
Кошечка из Сакурасо;24;комедия,повседневность,романтика,драма;школа;2012;16
Страна чудес смертников;12;боевик,фантастика,мистика;сёнен,ужасы;2011;18
Президент - горничная!;27;комедия,повседневность,романтика;сёдзё,школа;2010;16
Сага о Винланде;24;приключения,боевик,драма;историческое;2019;18
Корона Грешника;22;боевик,драма,фантастика;меха,суперсила;2011;18
Самурай Чамплу;26;приключения,боевик,комедия,драма;историческое,самураи,сёнен;2004;18
Пламенная бригада пожарных;48;боевик,фантастика;сёнен;2019,2020;16
Драгонболл;798;приключения,боевик,комедия,драма,фантастика,фэнтези;боевые искусства,сёнен,суперсила;1986,1989,1996,2009,2014,2015;16
Дракон-горничная Кобаяши;27;комедия,повседневность,фантастика;-;2017,2021;16
Темный дворецкий;46;приключения,драма,фэнтези,мистика,детектив;историческое,демоны,сёнен;2008,2010,2014;18
Баскетбол Куроко;76;приключения,комедия,драма;спорт,школа,сёнен;2012,2013,2015;16
Притворная любовь;32;комедия,романтика;сёнен,школа;2014,2015;16
За гранью;12;повседневность,романтика,фантастика,фэнтези;-;2013;16
Хоримия;13;комедия,повседневность,романтика;сёнен,школа;2021;16
Эхо террора;11;драма,фантастика,детектив,триллер,психология;-;2014;18
Дороро;24;приключения,боевик,мистика;историческое,демоны,самураи,сёнен;2019;18
Логин Горизонт;62;приключения,комедия,фэнтези;игры,магия;2013,2014,2021;16
Хост-клуб Оранской школы;26;комедия,повседневность,романтика;школа,сёдзё;2006;16
Токийские мстители;24;боевик,драма,мистика;сёнен,школа;2021;18
